Long/Lat,Job Number,Job Name,City-County,St-Prov,FRLA Plans?,Date range,Project Type,Icon,Archival records,Images
"31.996241, -81.081303",01731,Estill Park,Savannah,Georgia,1,1896,"01 Parks, Parkways & Recreation Areas",terrain,,
"33.522179, -86.771942",03542,Avondale Park,Birmingham,Alabama,1,1924,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.04995, -84.495667",03020,Ben Gratz Park,Lexington,Kentucky,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.051281, -84.486382",03019,Duncan Park & Playground,Lexington,Kentucky,1,1914,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.25486,-85.766404",01260,Louisville Parks,Louisville,Kentucky,1,1898,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.278301, -120.310493",08318,Calaveras Big Tree Region,Calaveras County,California,1,1946,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.473255,-82.638313",07413,Central Park,Ashland,Kentucky,1,1940,"01 Parks, Parkways & Recreation Areas",terrain,,
"38.90932, -77.059219",02824,Cooke Park,Washington,DC,1,1877,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.286632, -76.641161",02441,Union Square,Baltimore,Maryland,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.290058, -76.642639",02439,Franklin Square,Baltimore,Maryland,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.290555, -76.609604",02447,Baltimore City Plan,Baltimore,Maryland,1,1943,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.295563, -76.6291",02442,Perkins Square,Baltimore,Maryland,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.295959,-76.639587",02438,Harlem Park,Baltimore,Maryland,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.298512,-76.636467",02440,Lafayette Square,Baltimore,Maryland,1,1916,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.314965, -76.644429",02418,Fulton Avenue,Baltimore,Maryland,1,1904,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.70202, -104.968709",05594,Block 8,Denver,Colorado,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.71293,-104.972429",05585,Marion Street Parkway,Denver,Colorado,1,1911-1912,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.770039,-89.637451",03761,Mildred Park,Springfield,Illinois,1,1909,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.776617, -86.191049",02301,White River Parkway,Indianapolis,Indiana,1,1897,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.905239,-74.08152",04025,Island Beach Park,Island Beach,New Jersey,1,1946-1949,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.239702, -105.710449",05589,Rocky Mountain National Park,Denver,Colorado,1,1914,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.326786, -75.957198",06947,Wyomissing Park,Wyomissing,Pennsylvania,1,1921,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.332397, -75.960975",09308,Trent Avenue Steps,Wyomissing,Pennsylvania,1,1932,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.74498, -74.251633",04076,Grove Park,South Orange,New Jersey,1,1910,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.768475, -73.980644",00535,Central Park West,New York City,New York,1,1914,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.188702, -73.204857",00692,Beechwood Park,Bridgeport,Connecticut,1,1917,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.427219, -81.854753",06202,Rocky River Parkway,Cuyahoga County,Ohio,1,1915,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.48628, -71.296019",01211,Easton's Beach,Newport,Rhode Island,1,1883,"01 Parks, Parkways & Recreation Areas",terrain,,
